Timestamp;TEMPERATURE[degC];HUMIDITY[%];WIND_SPEED[m1s];WIND_DIR[deg];GHI[kW1m2];POA Irr[kW1m2];P_Gaia[kW];P_Solar[kW];Pressure[mbar];Azimuth[deg];Elevation[deg]
43360,20833;15,65236111;0,8;3,040944444;223,3583333;0,010484722;0,008731667;0;0,066475804;1000;0;0
43360,25;15,98255556;0,8;3,268694444;229,8308333;0,069616667;0,046475278;0;0,351773906;1000;0;0
43360,29167;16,70338889;0,8;3,805527778;239,5863889;0,172965556;0,141015833;0;1,052846223;1000;0;0
43360,33333;17,86308333;0,8;3,925388889;250,6933333;0,261696944;0,231935556;0;1,705026323;1000;0;0
43360,375;18,05011111;0,8;3,771972222;254,2438889;0,217366111;0,178014444;0;1,315224469;1000;0;0
43360,41667;18,64272222;0,8;3,436277778;258,0133333;0,240151667;0,191412778;0;1,407454381;1000;0;0
43360,45833;19,03402778;0,794055556;3,068805556;253,315;0,201083889;0,168885833;0;1,242208083;1000;0;0
43360,5;18,52744444;0,8;2,085805556;288,0313889;0,085462778;0,063115556;0;0,470989527;1000;0;0
43360,54167;18,60466667;0,8;1,059055556;307,8605556;0,134186944;0,095115278;0;0,706055008;1000;0;0
43360,58333;19,26641667;0,8;1,284;226,4625;0,115743889;0,082801111;0;0,613888736;1000;0;0
43360,625;19,426;0,785666667;2,527722222;211,9186111;0,090410833;0,080609444;0;0,597887076;1000;0;0
43360,66667;18,93719444;0,79925;3,076694444;199,1411111;0,069568889;0,077913611;0;0,579595549;1000;0;0
43360,70833;17,87261111;0,8;2,604111111;201,1627778;0,002967222;0,002883889;0;0,021749529;1000;0;0
43360,75;17,21736111;0,8;2,565888889;185,0658333;0;0;0;0;1000;0;0
43360,79167;16,44722222;0,8;2,558611111;187,1455556;0;0;0;0;1000;0;0
43360,83333;15,99163889;0,828222222;2,679805556;186,37;0;0;0;0;1000;0;0
43360,875;15,53361111;0,856388889;2,641777778;192,1622222;0;0;0;0;1000;0;0
43360,91667;14,81611111;0,899972222;2,192916667;179,2813889;0;0;0;0;1000;0;0
43360,95833;14,68041667;0,896777778;2,901527778;165,6472222;0;0;0;0;1000;0;0
43361;28,88641289;1,8;5,909780495;326,980828;0;0;0;0;2000;0;0
43366;10,76763889;0,8;6,486055556;255,6258333;0;0;0;0;2000;0;0
43366,04167;10,53025;0,839694444;5,675555556;249,6155556;0;0;0;0;1000;0;0
43366,08333;10,23566667;0,9;4,744888889;250,7380556;0;0;0;0;1000;0;0
43366,125;9,926305556;0,9;3,95475;250,8691667;0;0;0;0;1000;0;0
43366,16667;9,841722222;0,818444444;4,29325;249,8938889;0,0004025;0,000649167;0;0,005076938;1000;0;0
43366,20833;9,420722222;0,843194444;3,588777778;236,0755556;0,034054444;0,025176389;0;0,196735353;1000;0;0
43366,25;10,12075;0,847416667;3,9665;243,6238889;0,156796111;0,140738611;0;1,082923578;1000;0;0
43366,29167;11,79708333;0,797055556;4,410222222;252,6944444;0,296883056;0,338444722;0;2,531714888;1000;0;0
43366,33333;12,52175;0,672194444;6,656944444;280,8630556;0,331680278;0,422071389;0;3,137680728;1000;0;0
43366,375;12,73941667;0,623277778;7,353333333;282,7180556;0,363383611;0,489468056;0;3,619246804;1000;0;0
43366,41667;13,18541667;0,59875;6,679722222;279,125;0,516568333;0,743662778;0;5,344882292;1000;0;0
43366,45833;13,49511111;0,6;6,932583333;282,035;0,50977;0,851864722;0;6,057267016;1000;0;0
43366,5;13,15583333;0,611888889;6,717361111;288,4711111;0,3240475;0,508315;0;3,737776654;1000;0;0
43366,54167;12,91327778;0,602;6,025055556;282,1247222;0,211538333;0,167474444;0;1,271719356;1000;0;0
43366,58333;12,65558333;0,615333333;5,750277778;283,7441667;0,1608925;0,124654722;0;0,951355486;1000;0;0
43366,625;12,113;0,680388889;4,918777778;287,1597222;0,089210278;0,063197778;0;0,486214841;1000;0;0
43366,66667;11,90347222;0,699944444;5,050972222;289,3858333;0,034457778;0,032730278;0;0,252834615;1000;0;0
43366,70833;11,22077778;0,700055556;3,659166667;272,7880556;0,00068;0,000987778;0;0,007677846;1000;0;0
43366,75;10,96991667;0,748138889;4,739805556;285,7955556;0;0;0;0;1000;0;0
43366,79167;11,25088889;0,7;6,455555556;296,0258333;0;0;0;0;1000;0;0
43366,83333;11,1565;0,704444444;6,752111111;294,0377778;0;0;0;0;1000;0;0
43366,875;11,13925;0,710027778;7,373444444;294,8561111;0;0;0;0;1000;0;0
43366,91667;11,11811111;0,748583333;7,259277778;296,2563889;0;0;0;0;1000;0;0
43366,95833;10,89811111;0,759777778;7,299583333;297,2919444;0;0;0;0;1000;0;0
43367;10,6725;0,748944444;7,399555556;295,4933333;0;0;0;0;2000;0;0
43326;17,02963889;0,936361111;1,742361111;96,05861111;0;0;0;0;2000;0;0
43326,04167;16,60725;0,954888889;2,013305556;85,46972222;0;0;0;0;1000;0;0
43326,08333;16,72261111;1;2,021194444;107,6002778;0;1,38889E-06;0;0;1000;0;0
43326,125;16,69363889;1;1,367861111;122,6905556;0,001018611;0,001341389;0;0,010172664;1000;0;0
43326,16667;16,73919444;1;0,81075;141,9877778;0,029021944;0,019579444;0;0,148086116;1000;0;0
43326,20833;17,39072222;1;1,448138889;183,0508333;0,098798889;0,056779722;0;0,42614097;1000;0;0
43326,25;17,74875;0,90375;2,584305556;224,4586111;0,127998611;0,075665278;0;0,565952844;1000;0;0
43326,29167;18,74927778;0,898916667;2,163916667;249,0291667;0,348103056;0,239600833;0;1,746602161;1000;0;0
43326,33333;19,63205556;0,804111111;2,791777778;267,4905556;0,339355;0,299955833;0;2,163925735;1000;0;0
43326,375;20,863;0,752166667;2,786666667;262,35;0,4700875;0,4371875;0;3,081408661;1000;0;0
43326,41667;20,46922222;0,7805;4,455583333;293,4158333;0,429324167;0,414590278;0;2,95227558;1000;0;0
43326,45833;21,27116667;0,771083333;4,450166667;302,5019444;0,731166111;0,7978925;0;5,413203707;1000;0;0
43326,5;21,84877778;0,704555556;3,519944444;303,8130556;0,603753889;0,702841389;0;4,783101577;1000;0;0
43326,54167;21,14866667;0,757805556;3,668583333;307,1766667;0,3214725;0,349016389;0;2,490384852;1000;0;0
43326,58333;20,81766667;0,739611111;4,132777778;305,6552778;0,376414444;0,428167222;0;3,035977612;1000;0;0
43326,625;20,56608333;0,734944444;4,280416667;306,4188889;0,28786;0,336268056;0;2,41358552;1000;0;0
43326,66667;20,17190886;0,734759655;4,575243123;307,7304807;0,223987774;0,237924701;0;1,730894699;1000;0;0
43326,70833;19,55716667;0,789027778;4,371833333;307,5411111;0,110375278;0,082388611;0;0,611287872;1000;0;0
43326,75;18,79791319;0,8;3,88753478;307,8870339;0,010715359;0,008559544;0;0,064241985;1000;0;0
43326,79167;18,47096681;0,8;3,558903319;301,3694084;0;4,0404E-05;0;0;1000;0;0
43326,83333;18,48234631;0,813761985;3,019740553;277,287366;0;0;0;0;1000;0;0
43326,875;17,87377778;0,9;3,017611111;280,7494444;0;0;0;0;1000;0;0
43326,91667;17,77122222;0,9;3,182666667;276,2663889;0;8,88889E-06;0;0;1000;0;0
43326,95833;17,89961111;0,9;3,77275;279,5294444;0;0;0;0;1000;0;0
43327;35,84815226;1,8;7,01511531;608,5515421;0;0;0;0;2000;0;0
43643;13,93211111;0,8;8,060027778;289,1541667;0;0;0;0;2000;0;0
43643,04167;13,71352778;0,8;7,884444444;290,8455556;0;0;0;0;1000;0;0
43643,08333;13,71;0,8;7,021972222;292,5813889;0,001730556;0,001933611;0;0,014862796;1000;0;0
43643,125;13,64105556;0,8;6,510777778;295,3483333;0,020012778;0,0127725;0;0,098108629;1000;0;0
43643,16667;13,79616667;0,8;6,773777778;294,9861111;0,0746875;0,045138611;0;0,345472931;1000;0;0
43643,20833;14,28452778;0,756833333;5,837694444;302,7413889;0,241398889;0,098710833;0;0,749746895;1000;0;0
43643,25;14,70152778;0,731;6,844777778;294,6130556;0,282296389;0,154319722;0;1,164677598;1000;0;0
43643,29167;15,15686111;0,70475;7,075805556;293,2261111;0,319966667;0,205838056;0;1,543371992;1000;0;0
43643,33333;16,04094444;0,7;6,894666667;292,3183333;0,528673056;0,367845;0;2,705288782;1000;0;0
43643,375;16,72425;0,7;6,912972222;293,6797222;0,619793056;0,5025725;0;3,637909984;1000;0;0
43643,41667;17,76763889;0,690305556;7,088583333;290,8069444;0,782725556;0,704219722;0;4,978418868;1000;0;0
43643,45833;18,34841667;0,642111111;6,620138889;298,4525;0,778824444;0,7710375;0;5,388084509;1000;0;0
43643,5;19,18277778;0,6;5,843527778;299,6363889;0,830184722;0,858504444;0;5,895662067;1000;0;0
